test_id,beta,j,r,tau_c,n_tau,phi_over_pi,phi,k2_real,k2_imag,k4_real,k4_imag,p0_analytic,p1_analytic,p2_analytic,p0_mc,p1_mc,p2_mc,p0_mc_std,p1_mc_std,p2_mc_std,trace_distance,trace_distance_std,max_abs_error,max_abs_error_std,imag_leakage,imag_leakage_std,phase_replicas,mc_M_per_rep,mc_M_total
NHS-CNG-PHASE-v2,1.0,0.6,0.45,0.04,18,-1.0,-3.141592653589793,-0.45,5.5109105961630896e-17,-0.45,-5.5109105961630896e-17,0.020976617104811728,0.48951169144759404,0.48951169144759427,0.021047337064369842,0.489005864182581,0.48994679875304925,0.00034170254706363917,0.0041926842802255445,0.004124503514876372,0.0034055504439786687,0.0023683435715778855,0.0034055504439786887,0.0023683435715778855,0.014042123577453876,0.0072072425306395765,10,18000,180000
NHS-CNG-PHASE-v2,1.0,0.6,0.45,0.04,18,-0.975,-3.0630528372500483,-0.44861280017990757,0.035306593077530285,-0.44861280017990757,-0.035306593077530285,0.02102375785443294,0.5193844385006519,0.45959180364491514,0.021019242573573425,0.5203997282319743,0.45858102919445215,0.00031589087157894,0.0049420716124050105,0.004838214951344211,0.004213570125901208,0.002523693247730591,0.0042135701259011895,0.0025236932477306056,0.012591896196721238,0.004747777237214423,10,18000,180000
NHS-CNG-PHASE-v2,1.0,0.6,0.45,0.04,18,-0.95,-2.9845130209103035,-0.44445975326781195,0.07039550926810394,-0.44445975326781195,-0.07039550926810394,0.021166508840226087,0.5487966758759295,0.4300368152838444,0.021053672083155155,0.5488022148317588,0.43014411308508593,0.0001561895723750211,0.005975657504483921,0.005932575051315158,0.004212072226797138,0.0040463803082707115,0.0042120722267971426,0.004046380308270719,0.015435896051441026,0.007205011268475369,10,18000,180000
NHS-CNG-PHASE-v2,1.0,0.6,0.45,0.04,18,-0.925,-2.9059732045705586,-0.43756646417895445,0.10505041373515749,-0.43756646417895445,-0.10505041373515749,0.02140885272195917,0.5773545571379817,0.40123659014005925,0.021424375580181294,0.5772176929892864,0.4013579314305324,0.00024238014094172598,0.007501491486093047,0.007335843536047625,0.0053457056159336505,0.004978593501611928,0.005345705615933688,0.0049785935016119325,0.012759490327557221,0.007226683319233483,10,18000,180000
NHS-CNG-PHASE-v2,1.0,0.6,0.45,0.04,18,-0.9,-2.827433388230814,-0.4279754323328191,0.13905764746872637,-0.4279754323328191,-0.13905764746872637,0.02175741963769455,0.6047021602618525,0.37354042010045296,0.021844748316413434,0.6038386699756721,0.3743165817079144,0.00037427885658064834,0.004483882718125005,0.004184650716923243,0.0032299878416020555,0.0030923270500772607,0.003229987841602022,0.003092327050077261,0.011771565808759776,0.00777690233938807,10,18000,180000
NHS-CNG-PHASE-v2,1.0,0.6,0.45,0.04,18,-0.875,-2.748893571891069,-0.415745789630079,0.17220754456429047,-0.415745789630079,-0.17220754456429047,0.022221489405260437,0.6305354615921321,0.34724304900260744,0.02216888293902479,0.6303400450731278,0.34749107198784746,0.0002460205972463412,0.003297535295296414,0.0031348451583572898,0.0025908725290090654,0.001859489857066208,0.002590872529009092,0.0018594898570662018,0.013514524957992033,0.007973838442584215,10,18000,180000
NHS-CNG-PHASE-v2,1.0,0.6,0.45,0.04,18,-0.85,-2.670353755551324,-0.4009529358847655,0.2042957248827961,-0.4009529358847655,-0.2042957248827961,0.022813018329474542,0.654610718004071,0.3225762636664546,0.022767729013207113,0.654959351214517,0.3222729197722759,0.00026953499194672884,0.005329374375909253,0.005106198421375818,0.004315213384500607,0.0028066397215406103,0.004315213384500599,0.0028066397215405943,0.015250948377816731,0.005731033749994414,10,18000,180000
NHS-CNG-PHASE-v2,1.0,0.6,0.45,0.04,18,-0.825,-2.5918139392115793,-0.3836880739593415,0.23512435412217703,-0.3836880739593415,-0.23512435412217703,0.023546707136178843,0.6767470271385592,0.29970626572526204,0.023532913459706647,0.6771654350567398,0.2993016514835537,0.00030317125930367627,0.004664107661341861,0.004437758495359081,0.003765448227414218,0.002514424380812943,0.0037654482274142196,0.0025144243808129362,0.012656887120939422,0.008919700546921155,10,18000,180000
NHS-CNG-PHASE-v2,1.0,0.6,0.45,0.04,18,-0.8,-2.5132741228718345,-0.3640576474687263,0.26450336353161297,-0.3640576474687263,-0.26450336353161297,0.02444012331783644,0.6968236646399665,0.2787362120421972,0.024480989845888368,0.6961573010134587,0.2793617091406529,0.0003717715780990634,0.00563251410500777,0.005294333608974005,0.004603364029035171,0.0029450096637679765,0.004603364029035173,0.00294500966376795,0.01373138474880542,0.006915660722272675,10,18000,180000
NHS-CNG-PHASE-v2,1.0,0.6,0.45,0.04,18,-0.775,-2.4347343065320897,-0.34218268452001394,0.2922516217485827,-0.34218268452001394,-0.2922516217485827,0.025513884938014767,0.7147733663940684,0.2597127486679168,0.025454432896712554,0.7156984614659245,0.25884710563736296,0.000321835015962716,0.004160214342903879,0.0038646143374194137,0.0036341787290654895,0.001893268812164825,0.0036341787290654847,0.0018932688121648402,0.017354231629134912,0.006783985450058074,10,18000,180000
NHS-CNG-PHASE-v2,1.0,0.6,0.45,0.04,18,-0.75,-2.356194490192345,-0.31819805153394637,0.3181980515339464,-0.31819805153394637,-0.3181980515339464,0.026791904741719046,0.7305729773428663,0.2426351179154147,0.026724504427974655,0.7313299811304332,0.2419455144415922,0.0005503317337699495,0.0054769594972413444,0.004935701836074795,0.00409850790472845,0.0034597149031947274,0.004098507904728465,0.0034597149031947165,0.010158853374197384,0.004677350002907834,10,18000,180000
NHS-CNG-PHASE-v2,1.0,0.6,0.45,0.04,18,-0.725,-2.2776546738526,-0.2922516217485826,0.34218268452001394,-0.2922516217485826,-0.34218268452001394,0.02830168406972323,0.7442328609024909,0.2274654550277858,0.02814270698191968,0.7457109819983098,0.2261463110197705,0.0005310691831418154,0.005124748089119511,0.004597452699320321,0.004338210368915506,0.0027891678265467732,0.0043382103689155295,0.002789167826546773,0.01038947115728565,0.006171006099467623,10,18000,180000
NHS-CNG-PHASE-v2,1.0,0.6,0.45,0.04,18,-0.7,-2.199114857512855,-0.26450336353161286,0.3640576474687264,-0.26450336353161286,-0.3640576474687264,0.030074635904525426,0.7557862426882178,0.21413912140725666,0.030102047660653875,0.7557319638142513,0.21416598852509475,0.00048167899426385086,0.004011254878869447,0.0035312409494378362,0.0031352060003590697,0.002274149916675257,0.003135206000359059,0.002274149916675247,0.00698136817150873,0.005941891274872634,10,18000,180000
NHS-CNG-PHASE-v2,1.0,0.6,0.45,0.04,18,-0.675,-2.1205750411731104,-0.23512435412217697,0.3836880739593415,-0.23512435412217697,-0.3836880739593415,0.03214640520454343,0.7652793510343752,0.2025742437610814,0.03234788633085128,0.7638174395536473,0.2038346741155014,0.0005055278384934959,0.003741093503542052,0.00323568118896131,0.003390250892831592,0.0018972455482030037,0.0033902508928315813,0.0018972455482030109,0.013360736403209363,0.009176307473756163,10,18000,180000
NHS-CNG-PHASE-v2,1.0,0.6,0.45,0.04,18,-0.6499999999999999,-2.042035224833365,-0.20429572488279585,0.40095293588476566,-0.20429572488279585,-0.40095293588476566,0.034557142003748285,0.7727629003173411,0.19267995767891077,0.034204156184694544,0.775134087353538,0.19066175646176747,0.0004235356685102775,0.0028557417812359437,0.00243347272568683,0.003076088844058443,0.0019720098019461777,0.0030760888440584224,0.001972009801946195,0.011171500260914097,0.008773443516742294,10,18000,180000
NHS-CNG-PHASE-v2,1.0,0.6,0.45,0.04,18,-0.625,-1.9634954084936207,-0.17220754456429038,0.415745789630079,-0.17220754456429038,-0.415745789630079,0.037351668017524875,0.7782851969409716,0.18436313504150342,0.03722664917804393,0.778892697182107,0.18388065363984912,0.0006495523722550601,0.003591906373003047,0.00295200849073608,0.002346238578173821,0.0026835875395581055,0.0023462385781738066,0.0026835875395581302,0.010369399710802408,0.008338135523468295,10,18000,180000
NHS-CNG-PHASE-v2,1.0,0.6,0.45,0.04,18,-0.6,-1.8849555921538759,-0.13905764746872631,0.42797543233281915,-0.13905764746872631,-0.42797543233281915,0.04057946045286486,0.7818869571478471,0.17753358239928813,0.040524694865207746,0.7820820965781202,0.177393208556672,0.0005840780504264307,0.0030554625056107816,0.0024830210299025147,0.0022327733710176,0.0019593276856547798,0.0022327733710176046,0.0019593276856547785,0.011557375941038292,0.010273858542398831,10,18000,180000
NHS-CNG-PHASE-v2,1.0,0.6,0.45,0.04,18,-0.575,-1.8064157758141308,-0.1050504137351573,0.4375664641789545,-0.1050504137351573,-0.4375664641789545,0.04429435778968319,0.783597812236453,0.17210782997386373,0.04398300619620584,0.7852583013597209,0.17075869244407327,0.0007878558101265346,0.0035460453681684804,0.0027837369600114677,0.0028333825426969067,0.0025949260331744415,0.002833382542696914,0.0025949260331744714,0.010002914513944593,0.005856404538413849,10,18000,180000
NHS-CNG-PHASE-v2,1.0,0.6,0.45,0.04,18,-0.55,-1.7278759594743864,-0.07039550926810396,0.44445975326781195,-0.07039550926810396,-0.44445975326781195,0.048553872956926473,0.7834344274652175,0.16801169957785592,0.048148288772037785,0.7853429971916187,0.1665087140363436,0.0008274459193447378,0.003991523351630199,0.0032092200820221886,0.0038059702863211,0.0019709730761236287,0.003805970286321114,0.0019709730761236386,0.013127655673617672,0.008495583118074345,10,18000,180000
NHS-CNG-PHASE-v2,1.0,0.6,0.45,0.04,18,-0.5249999999999999,-1.6493361431346412,-0.0353065930775301,0.44861280017990757,-0.0353065930775301,-0.44861280017990757,0.05341798250996778,0.7814001561629398,0.1651818613270923,0.05334131378217011,0.7814524124318504,0.1652062737859795,0.0009950242517205612,0.003812722571683275,0.00288024020712267,0.003090074215964726,0.0020011845139196326,0.003090074215964728,0.0020011845139196265,0.0151022186177516,0.007613528285110032,10,18000,180000
NHS-CNG-PHASE-v2,1.0,0.6,0.45,0.04,18,-0.5,-1.5707963267948966,2.7554552980815448e-17,0.45,2.7554552980815448e-17,-0.45,0.05894725087056701,0.7774861686416131,0.16356658048782,0.05927062876218141,0.7767505708696523,0.16397880036816628,0.0008248854775912027,0.002909980762822199,0.0021472175584102914,0.002353449992806856,0.0017073587299512585,0.0023534499928068663,0.001707358729951287,0.015158445401658107,0.005301059997283258,10,18000,180000
NHS-CNG-PHASE-v2,1.0,0.6,0.45,0.04,18,-0.475,-1.4922565104551517,0.03530659307753025,0.44861280017990757,0.03530659307753025,-0.44861280017990757,0.06520015311941847,0.7716740153911392,0.16312583148944237,0.06500234949044564,0.7719038268701489,0.1630938236394055,0.0008829598565744376,0.003182021930285186,0.0024361874679679095,0.0026214759580582016,0.0016121738729137963,0.002621475958058228,0.0016121738729137846,0.012307461895213066,0.005366023446821267,10,18000,180000
NHS-CNG-PHASE-v2,1.0,0.6,0.45,0.04,18,-0.44999999999999996,-1.4137166941154067,0.07039550926810402,0.44445975326781195,0.07039550926810402,-0.44445975326781195,0.07222948659817621,0.7639395866216641,0.16383092678015979,0.07264110865140383,0.7629684512547862,0.16439044009381,0.0017728048649664609,0.003537195729734625,0.002338478558750587,0.002996902248573492,0.0021120636766439388,0.002996902248573484,0.0021120636766439353,0.012066090631224383,0.00838128058668421,10,18000,180000
NHS-CNG-PHASE-v2,1.0,0.6,0.45,0.04,18,-0.42499999999999993,-1.3351768777756619,0.10505041373515756,0.43756646417895445,0.10505041373515756,-0.43756646417895445,0.08007781965637056,0.7542583993518192,0.16566378099181037,0.07991645856720102,0.7545197227663001,0.16556381866649889,0.002108863461353209,0.004306157958170545,0.002290981959927074,0.0029948213338276417,0.0029521591150790203,0.002994821333827634,0.002952159115079039,0.01304435673101836,0.00387454208806499,10,18000,180000
NHS-CNG-PHASE-v2,1.0,0.6,0.45,0.04,18,-0.3999999999999999,-1.256637061435917,0.13905764746872645,0.4279754323328191,0.13905764746872645,-0.4279754323328191,0.0887720227355819,0.7426120674335014,0.16861590983091676,0.08899407059983136,0.7433723066806422,0.16763362271952648,0.0019246593927559742,0.004354338814587176,0.0026381436713994325,0.003672919916741159,0.0021901855269746574,0.0036729199167411797,0.002190185526974652,0.01732455567674503,0.009413465582517074,10,18000,180000
NHS-CNG-PHASE-v2,1.0,0.6,0.45,0.04,18,-0.375,-1.1780972450961724,0.17220754456429044,0.415745789630079,0.17220754456429044,-0.415745789630079,0.09831706529158249,0.7289956852391134,0.1726872494693041,0.09751649358919817,0.7313956302978004,0.17108787611300122,0.0010857524899654002,0.0030576477937643747,0.0026197631677954804,0.0034269947211880676,0.001861017495584568,0.0034269947211880538,0.001861017495584556,0.014137164977788419,0.005690036741874886,10,18000,180000
NHS-CNG-PHASE-v2,1.0,0.6,0.45,0.04,18,-0.35,-1.0995574287564276,0.20429572488279607,0.4009529358847655,0.20429572488279607,-0.4009529358847655,0.10868943559474029,0.7134256897014289,0.1778848747038309,0.10934643576192453,0.7120695206392329,0.17858404359884272,0.0018613297886495835,0.0034790306710484466,0.0018156047627464144,0.003033237753816826,0.0020652073031707475,0.003033237753816842,0.0020652073031707675,0.015159470388520608,0.007386188265188527,10,18000,180000
NHS-CNG-PHASE-v2,1.0,0.6,0.45,0.04,18,-0.32499999999999996,-1.0210176124166825,0.2351243541221771,0.38368807395934146,0.2351243541221771,-0.38368807395934146,0.11983073028982803,0.6959475804463503,0.18422168926382174,0.11935778444378256,0.6972027974989687,0.18343941805724856,0.00199691511610016,0.002513318700482338,0.0021511524184272927,0.002884737413258371,0.0012974413372580137,0.0028847374132583703,0.00129744133725798,0.013430072390511926,0.004601888846093828,10,18000,180000
NHS-CNG-PHASE-v2,1.0,0.6,0.45,0.04,18,-0.29999999999999993,-0.9424777960769377,0.264503363531613,0.36405764746872626,0.264503363531613,-0.36405764746872626,0.13164213346397508,0.676642712473098,0.19171515406292683,0.13239478515592082,0.6756393674667014,0.19196584737737782,0.0022547621170408544,0.0031113260362523737,0.0018133636729199749,0.0030428643238972,0.0014850834447982346,0.003042864323897207,0.0014850834447982242,0.018509049633425693,0.00755301867949618,10,18000,180000
NHS-CNG-PHASE-v2,1.0,0.6,0.45,0.04,18,-0.2749999999999999,-0.8639379797371928,0.29225162174858277,0.3421826845200138,0.29225162174858277,-0.3421826845200138,0.14398061609224633,0.6556332810598057,0.20038610284794786,0.14462841032133106,0.6547868720599345,0.20058471761873448,0.0034969062204952004,0.004176532463344388,0.0017655397906138955,0.0038772146404936884,0.0018491144981985532,0.0038772146404936645,0.0018491144981985482,0.015049163126071333,0.008586525275085523,10,18000,180000
NHS-CNG-PHASE-v2,1.0,0.6,0.45,0.04,18,-0.25,-0.7853981633974483,0.3181980515339464,0.3181980515339464,0.3181980515339464,-0.3181980515339464,0.15665768879741904,0.6330846467640303,0.21025766443855054,0.15626725215412282,0.6339173740121854,0.20981537383369178,0.0019755012520234544,0.0022400321231120825,0.001276586909406008,0.00214700065492609,0.0013711989577384163,0.0021470006549261485,0.0013711989577383998,0.014772882935641057,0.008623373435045508,10,18000,180000
NHS-CNG-PHASE-v2,1.0,0.6,0.45,0.04,18,-0.22499999999999998,-0.7068583470577033,0.342182684520014,0.2922516217485826,0.342182684520014,-0.2922516217485826,0.16944139859649396,0.6092043368673052,0.22135426453620086,0.1705720997710105,0.6080797431500266,0.22134815707896288,0.0028670905898933218,0.003740955903857483,0.0012995889640128899,0.0030617880584573043,0.0022857349442131233,0.0030617880584573125,0.0022857349442131202,0.015784566225674042,0.006710542679831464,10,18000,180000
NHS-CNG-PHASE-v2,1.0,0.6,0.45,0.04,18,-0.19999999999999996,-0.6283185307179585,0.3640576474687264,0.26450336353161286,0.3640576474687264,-0.26450336353161286,0.18206196677100686,0.5842374121631957,0.2337006210657975,0.18072665912756836,0.5853136797235933,0.2339596611488383,0.0017481406428691555,0.0021342111601138866,0.0015239701794683225,0.0022087301537297016,0.0014503990372174292,0.002208730153729685,0.001450399037217423,0.012131058433649323,0.007985438626343414,10,18000,180000
NHS-CNG-PHASE-v2,1.0,0.6,0.45,0.04,18,-0.17499999999999993,-0.5497787143782136,0.3836880739593415,0.23512435412217692,0.3836880739593415,-0.23512435412217692,0.19422105281519206,0.5584583625488443,0.24732058463596363,0.19472778221241313,0.557935020626445,0.24733719716114183,0.0018161873818101986,0.0023458977403013996,0.0014265521838722583,0.002183759678763701,0.0013077186562155164,0.0021837596787636997,0.0013077186562155028,0.01144942434569646,0.0030616553560655524,10,18000,180000
NHS-CNG-PHASE-v2,1.0,0.6,0.45,0.04,18,-0.1499999999999999,-0.4712388980384687,0.4009529358847656,0.20429572488279593,0.4009529358847656,-0.20429572488279593,0.20560416974831905,0.5321602053391108,0.2622356249125702,0.20490681216083823,0.5325592167111511,0.26253397112801063,0.003742422797676453,0.0033084517898160893,0.0015949121747064468,0.003485854108236204,0.0018552567045154798,0.0034858541082361887,0.0018552567045154627,0.014316811984411214,0.011630446027175109,10,18000,180000
NHS-CNG-PHASE-v2,1.0,0.6,0.45,0.04,18,-0.125,-0.39269908169872414,0.415745789630079,0.1722075445642904,0.415745789630079,-0.1722075445642904,0.21589536204104565,0.5056418958637735,0.2784627420951809,0.21753130451647337,0.5043247520219445,0.2781439434615822,0.003991935459186842,0.0027996128813532603,0.0018435210081368613,0.0035480186250920072,0.002612561072672369,0.0035480186250920003,0.0026125610726723558,0.012367856386950416,0.010055158385842283,10,18000,180000
